neighborhood_code;neighborhood_names;total_destruction
BU05031205;Bomenwijk;8.0
BU05031206;Biesland;9.0
BU05031207;Heilige Land;8.0
BU05031208;Bedrijventerrein Delftse Poort-West;0.0
BU05031301;Agnetaparkbuurt;5.0
BU05031302;Ministersbuurt-West;6.0
BU05031303;Ministersbuurt-Oost;8.0
BU05031304;Westeindebuurt;1.0
BU05031305;Olofsbuurt;7.0
BU05031306;Krakeelpolder;10.0
BU05031307;Westerkwartier;27.0
BU05031400;Kuyperwijk-Noord;10.0
BU05031401;Kuyperwijk-Zuid;10.0
BU05031402;Ecodus;2.0
BU05031403;Marlot;4.0
BU05031404;Westlandhof;1.0
BU05031405;Hoornse Hof;3.0
BU05031406;Den Hoorn;8.0
BU05031407;Molenbuurt;3.0
BU05031600;De Bras;4.0
BU05031602;De Grote Plas;2.0
BU05031603;Bedrijventerrein Delftse Poort-Oost;12.0
BU05031604;Hoflaan;0.0
BU05032200;Bedrijventerrein Tanthof-West;1.0
BU05032201;Afrikabuurt-West;6.0
BU05032202;Afrikabuurt-Oost;16.0
BU05032203;Latijns Amerikabuurt;4.0
BU05032204;Aziëbuurt;3.0
BU05032300;Bedrijventerrein Tanthof-Oost;1.0
BU05032301;Boerderijbuurt;10.0
BU05032302;Dierenbuurt;1.0
BU05032303;Vogelbuurt-West;5.0
BU05032304;Vogelbuurt-Oost;8.0
BU05032305;Bosrand;1.0
BU05032400;Poptahof-Noord;5.0
BU05032401;Poptahof-Zuid;7.0
BU05032402;Bedrijventerrein Voorhof;8.0
BU05032403;Mythologiebuurt;38.0
BU05032404;Aart van der Leeuwbuurt;1.0
BU05032405;Roland Holstbuurt;12.0
BU05032406;Voorhof-Hoogbouw;11.0
BU05032407;Multatulibuurt;13.0
BU05032408;Bedrijventerrein Vulcanusweg;2.0
BU05032500;Reinier de Graafbuurt;12.0
BU05032501;Buitenhof-Noord;19.0
BU05032502;Juniusbuurt;2.0
BU05032503;Gillisbuurt;12.0
BU05032504;Fledderusbuurt;4.0
BU05032505;Het Rode Dorp;14.0
BU05032506;Pijperring;4.0
BU05032507;Verzetstrijdersbuurt;3.0
BU05032508;Vrijheidsbuurt;5.0
BU05032509;Buitenhof-Zuid;3.0
BU05032510;Kerkpolder;0.0
BU05032600;Abtswoude;0.0
BU05032700;Delftzicht;1.0
BU05032702;Bedrijventerrein Schieweg-Noord;5.0
BU05032703;Bedrijventerrein Schieweg-Zuid;5.0
BU05032704;Schieweg-Polder;0.0
BU05032800;Zeeheldenbuurt;5.0
BU05032801;TU-Noord;11.0
BU05032802;Wippolder-Noord;3.0
BU05032803;Wippolder-Zuid;10.0
BU05032804;Bedrijventerrein Rotterdamseweg-Noord;0.0
BU05032805;TU-Campus;9.0
BU05032806;Professorenbuurt;10.0
BU05032807;Bedrijventerrein Delftech;1.0
BU05032808;Pauwmolen;2.0
BU05032809;Koningsveldbuurt;1.0
BU05032900;Bedrijventerrein Rotterdamseweg-Zuid;0.0
BU05032901;Bedrijventerrein Technopolis;0.0
BU05032902;Ackersdijk;1.0
BU00100000;Delfzijl-Centrum;22.0
BU00100001;Farmsum;9.0
BU00100002;Delfzijl-Noord;41.0
BU00100003;Delfzijl-West;13.0
BU00100004;Fivelzigt;8.0
BU00100005;Tuikwerd;19.0
BU00100103;Meedhuizen;0.0
BU00100104;Uitwierde;
BU00100107;Verspr.h. Eemskanaal (ten zuiden);1.0
BU00100109;Verspreide huizen in het noorden;2.0
BU00100200;Woldendorp;1.0
BU00100201;Termunten;1.0
BU00100202;Termunterzijl;2.0
BU00100203;Borgsweer;0.0
BU00100205;Wagenborgen;2.0
BU00100207;Verspreide huizen Wagenborgen;0.0
BU00100209;Verspreide huizen Termunten;7.0
BU00100300;Bierum;1.0
BU00100301;Spijk;6.0
BU00100302;Holwierde;2.0
BU00100303;Godlinze;0.0
BU00100304;Losdorp;0.0
BU00100305;Krewerd;0.0
BU00100309;Verspreide huizen Bierum;0.0
BU07620000;Deurne-Centrum;33.0
BU07620001;Sint Jozefparochie;13.0
BU07620002;Zeilberg;26.0
BU07620003;Walsberg;2.0
BU07620004;Koolhof;14.0
BU07620005;Heiakker;11.0
BU07620006;Industrieterrein;6.0
BU07620007;De Vennen;
BU07620009;Verspreide huizen Deurne;10.0
BU07620100;Vlierden;3.0
BU07620109;Verspreide huizen Vlierden;1.0
BU07620200;Liessel;2.0
BU07620209;Verspreide huizen Liessel;6.0
BU07620300;Neerkant;2.0
BU07620309;Verspreide huizen Neerkant;1.0
BU07620400;Helenaveen;1.0
BU07620409;Verspreide huizen Helenaveen;1.0
BU01500101;Centrum;72.0
BU01500102;Bergkwartier;11.0
BU01500103;Noordenbergkwartier;2.0
BU01500104;Noordenbergsingel;9.0
BU01500105;Singel;26.0
BU01500106;Raambuurt;6.0
BU01500107;Knutteldorp;14.0
BU01500201;De Hoven;8.0
BU01500301;Noorderplein;10.0
BU01500302;Zwolseweg;5.0
BU01500303;Lange Zandstraat;21.0
BU01500304;Zandweerd-Zuid;18.0
BU01500305;Zandweerd-Noord;17.0
BU01500306;Schrijversbuurt;19.0
BU01500401;Rode Dorp;27.0
BU01500402;Oudegoedstraat;12.0
BU01500403;Burgemeestersbuurt;10.0
BU01500404;Oosterstraat;18.0
BU01500405;Rielerweg-West;16.0
BU01500406;Rielerweg-Oost;16.0
BU01500407;Brinkgreven;5.0
BU01500501;Borgele;16.0
BU01500502;Platvoet;2.0
BU01500601;Ludgeruskwartier;49.0
BU01500602;Tuindorp;15.0
BU01500603;Rollecatekwartier;5.0
BU01500604;Oranjekwartier;19.0
BU01500605;Landsherenkwartier;6.0
BU01500701;Rivierenbuurt;8.0
BU01500702;Deltabuurt;20.0
BU01500703;Hoornwerk;2.0
BU01500704;Industrieterrein;8.0
BU01500705;Kloosterlanden;4.0
BU01500706;Epse-Noord;0.0
BU01500801;Het Oostrik;7.0
BU01500802;Groot Douwel;11.0
BU01500803;Blauwenoord;6.0
BU01500901;Op den Haar;10.0
BU01500902;Steinvoorde;4.0
BU01500903;Graveland;0.0
BU01500904;Het Jeurlink;2.0
BU01500905;Het Fetlaer en Spijkvoorder Enk;8.0
BU01500906;Spikvoorde;6.0
BU01500907;Overig Colmschate-Noord;4.0
BU01501001;Snipperling;8.0
BU01501002;Dorp Colmschate;5.0
BU01501004;Colmschaterenk;10.0
BU01501005;Roessink;4.0
BU01501006;Het Bramelt;3.0
BU01501007;Essenerveld;3.0
BU01501008;Swormink;6.0
BU01501010;Bannink;0.0
BU01501011;Oxerhof;0.0
BU01501101;Dorp Diepenveen;14.0
BU01501102;Rande;0.0
BU01501103;Tjoene;0.0
BU01501201;Dorp Schalkhaar;25.0
BU01501202;Averlo en Frieswijk;0.0
BU01501301;Okkenbroek;1.0
BU01501401;Dorp Lettele;0.0
BU01501402;Oude Molen;
BU01501403;Buitengebied Lettele en Okkenbroek;5.0
BU01501501;Dorp Bathmen;14.0
BU01501502;Loo;0.0
BU01501503;Dortherhoek;0.0
BU01501504;Zuidloo;1.0
BU03840001;Biesbosch;3.0
BU03840002;Akkerland;2.0
BU03840003;Polderland;3.0
BU03840004;Kruidenhof;10.0
BU03840005;Bomenrijk;5.0
BU03840006;Beukenhorst;4.0
BU03840007;Schelpenhoek;2.0
BU03840008;Anne Frank;0.0
BU03840009;Sniep;8.0
BU03840010;Verrijn Stuart;8.0
BU03840011;Bergwijkpark;26.0
BU03840012;Stammerdijk;1.0
BU03840113;Overdiemerpolder;4.0
BU03840114;Centrum-Oost;10.0
BU03840115;Centrum-West;7.0
BU03840116;Ruimzicht-West;20.0
BU03840117;Ruimzicht-Oost;17.0
BU03840118;Studentenflats;2.0
BU03840219;Buitenlust;3.0
BU03840220;Spoorzicht;3.0
BU03840221;Oud-Diemen;1.0
BU03840222;Buytenstee;6.0
BU03840223;Vogelweide en Scheepskwartier-Noord;15.0
BU03840224;Vlindertuin en Scheepskwartier-Zuid;9.0
BU17741010;Centrum;0.0
BU17741011;Kerkeres;0.0
BU17741012;Klokkenberg;0.0
BU17741013;Dorper-Es;1.0
BU17741014;Veldkamp en Borchert;4.0
BU17741015;Janskamp;12.0
BU17741017;Diepengoor;0.0
BU17741020;'t Pierik;0.0
BU17741050;Kloppendijk;1.0
BU17741051;Sombeek;0.0
BU17741099;Buitengebied Denekamp;0.0
BU17741110;Lattrop kern;1.0
BU17741198;Verspreide huizen Breklenkamp;
BU17741199;Verspreide huizen Lattrop;0.0
BU17741210;Tilligte kern;2.0
BU17741299;Verspreide huizen Tilligte;0.0
BU17741398;Verspreide huizen Groot Agelo;0.0
BU17741399;Verspreide huizen Klein Agelo;0.0
BU17741410;Noord Deurningen kern;1.0
BU17741499;Verspreide huizen Noord Deurningen;2.0
BU17741510;Ootmarsum Kern;1.0
BU17741511;Ootmarsum Randkern;2.0
BU17741512;Ootmarsum villapark Stobbenkamp;1.0
BU17741513;Ootmarsum Cellenkamp Palthenkamp;3.0
BU17741514;Moerbekkenkamp;0.0
BU17741515;Wildehof;0.0
BU17741516;Vinke-Brookhuis;0.0
BU17741550;De Mors;0.0
BU17741598;Verspreide huizen Ootmarsum-Oost;
BU17741599;Buitengebied Ootmarsum-West;0.0
BU17741610;Weerselo;0.0
BU17741611;Eertman;1.0
BU17741612;Reestman;0.0
BU17741613;'t Stift;1.0
BU17741614;'t Spikkert;
BU17741650;Echelpoel;1.0
BU17741699;Verspreide huizen Weerselo;0.0
BU17741710;Rossum;0.0
BU17741799;Verspreide huizen Rossum;0.0
BU17741810;Saasveld;5.0
BU17741899;Verspreide huizen Saasveld;1.0
BU17741910;Kern Deurningen;3.0
BU17741999;Verspreide huizen Deurningen;0.0
BU17742099;Verspreide huizen Nutter;1.0
BU17742199;Verspreide huizen Oud Ootmarsum;0.0
BU02210100;De oude Stad binnen de gracht;22.0
BU02210101;Noordelijk Molenveld;3.0
BU02210102;Zuidelijk Molenveld;7.0
BU02210103;De Ooi;13.0
BU02210104;Beinum I;15.0
BU02210105;Beinum II;1.0
BU02210106;Bedrijventerrein Beinum;2.0
BU02210108;Verspreide huizen Noordoost;3.0
BU02210109;Verspreide huizen Fraterswaard-Noordoost;
BU02210110;Verspreide huizen IJssel en Oude IJssel;0.0
BU02220101;Stadscentrum-Zuid;33.0
BU02220102;Torenallee;1.0
BU02220103;Het Loo;2.0
BU02220104;Stadscentrum-Noord;8.0
BU02220105;De Pas-Noord;4.0
BU02220106;De Pas-Zuid;9.0
BU02220201;Muziekbuurt;12.0
BU02220202;Schrijvers en dichtersbuurt;9.0
BU02220203;Wiltinksbrug;0.0
BU02220204;Overstegen-West;17.0
BU02220205;Overstegen-Oost;18.0
BU02220206;Wonninkhage;0.0
BU02220207;Buitengebied de Gaarde;
BU02220208;Wassinkbrink-Zuidoost;0.0
BU02220301;Holterbroek;1.0
BU02220302;Schöneveld-Zuid;1.0
BU02220303;Schöneveld-Noord;5.0
BU02220401;Oosseld en Vijverberg-Zuidwest;7.0
BU02220402;Buitengebied Polmanlaan;4.0
BU02220403;Buitengebied de Wrange;1.0
BU02220404;Koekendaal en Vijverberg-Noordoost;1.0
BU02220405;Buitengebied Vossenstraat;1.0
BU02220406;Buitengebied Nutselaer en Abdij;0.0
BU02220407;Buitengebied IJzevoorde;0.0
BU02220408;Buitengebied Slangenburg;0.0
BU02220501;Hamburgerbroek;8.0
BU02220502;Verheulsweide-Noord;9.0
BU02220503;Verheulsweide-Zuid;2.0
BU02220504;Buitengebied Kemnaderallee;0.0
BU02220601;De Hoop-Noord;8.0
BU02220602;De Huet fase 1 + 3;8.0
BU02220603;De Huet fase 2;8.0
BU02220604;De Huet fase 4;6.0
BU02220605;De Huet fase 6 + 7;20.0
BU02220606;De Huet fase 5;6.0
BU02220608;Bedrijventerrein De Huet;0.0
BU02220609;Buitengebied De Huet;
BU02220701;Buitengebied Dichteren Noordwest;
BU02220702;Romantische buurt Noord;1.0
BU02220703;Romantische buurt Zuid;4.0
BU02220704;Landelijk Wonen;0.0
BU02220705;Kleurrijke buurt;4.0
BU02220706;Stadskwartier-Zuid;1.0
BU02220707;Stadskwartier-Noord;2.0
BU02220708;Buitengebied en Dichterem-Oost;0.0
BU02220709;Bedrijventerrein en Wijnbergen;5.0
BU02220710;Wijnbergen-het Westem;4.0
BU02220711;Wijnbergen-het Midden;2.0
BU02220712;Wijnbergen-het Oosten;2.0
BU02220713;De Hoop-Zuid;5.0
BU02220801;IJsseltuin en Heelweg;0.0
BU02220802;Bedrijventerrein Keppelseweg;1.0
BU02220803;Buitengebied Keppelseweg;0.0
BU02220804;Langerak-Zuid;1.0
BU02220901;Het Loo;0.0
BU02220902;De Happert Ziekenhuis;4.0
BU02220903;De Kruisberg;0.0
BU02220904;De Happert Leerinkstraat;3.0
BU02220905;De IJkenberg;28.0
BU02220906;De Bezelhorst;9.0
BU02220907;Buitengebied De Kruisberg;1.0
BU02220908;Buitengebied Groot Hagen;0.0
BU02220909;Langerak-Noord;
BU02220911;Wassinkbrink-Noordwest;1.0
BU02221101;Vulcaansoord en het Richtersbos-Zuid;2.0
BU02221102;De Elshof-Zuid;2.0
BU02221103;De Pol en Akkermansweide;1.0
BU02221104;Het Hartger en de Elshof-Noord;8.0
BU02221105;Buitengebied 't Klooster;
BU02221106;Buitengebied Pierikstraat;0.0
BU02221107;Buitengebied Pinnedijk;0.0
BU02223101;Wehl-Centrum;20.0
BU02223102;Wehl-West;0.0
BU02223103;Wehl-Zuidwest;0.0
BU02223104;Wehl-Zuidoost;1.0
BU02223105;Wehl-Oost;0.0
BU02223106;Wehl-Noordoost;
BU02223107;Wehl-Noord;0.0
BU02223108;Nieuw-Wehl-Centrum;0.0
BU02223109;Nieuw-Wehl-Noordoost;0.0
BU02223110;Nieuw-Wehl-Noord;0.0
BU07660101;West 1;10.0
BU07660102;Buitengebied West 1;2.0
BU07660103;West 2;13.0
BU07660104;Buitengebied West 2;2.0
BU07660105;Centrum;23.0
BU07660106;Beljaart;10.0
BU07660107;Biezen;9.0
BU07660108;Hoge Akker;2.0
BU07660109;Oud Dongen;12.0
BU07660110;Buitengebied Oost;0.0
BU07660111;Klein Dongen;0.0
BU07660112;Dongen-Vaart;1.0
BU07660113;Buitengebied Klein Dongen/Dongen-Vaart;0.0
BU07660114;Tichelrijt;4.0
BU07660216;'s Gravenmoer;2.0
BU07660217;Buitengebied 's Gravenmoer;
BU00580000;Dokkum binnen de Bolwerken;10.0
BU00580001;Dokkum Noord;14.0
BU00580002;Dokkum Fonteinslanden;4.0
BU00580003;Dokkum Fugellan;10.0
BU00580004;Dokkum Betterwird;1.0
BU00580005;Dokkum Hoedemakerspolder;6.0
BU00580006;Dokkum De Woudhorne;1.0
BU00580007;De Trije Terpen;3.0
BU00580008;Dokkum Weeshuislanden;1.0
BU00580009;Dokkum Jantjeszeepolder;7.0
BU00580010;Dokkum Kooilanden;3.0
BU00580011;Dokkum Hogedijken;1.0
BU00580100;Metslawier;1.0
BU00580101;Jouswier;0.0
BU00580102;Niawier;0.0
BU00580103;Wetsens;
BU00580104;Aalsum;
BU00580105;Oostrum;0.0
BU00580107;Verspreide huizen Metslawier;
BU00580108;Verspreide huizen Niawier;
BU00580109;Verspreide huizen Oostrum;0.0
BU00580200;Ee;2.0
BU00580201;Engwierum;0.0
BU00580202;Dokkumer Nieuwe Zijlen;
BU00580208;Verspreide huizen Ee;0.0
BU00580209;Verspreide huizen Engwierum;1.0
BU00580300;Anjum;0.0
BU00580301;Lioessens;0.0
BU00580302;Morra;1.0
BU00580303;Oostmahorn;2.0
BU00580307;Verspreide huizen Anjum;0.0
BU00580308;Verspreide huizen Lioessens;1.0
BU00580309;Verspreide huizen Morra;0.0
BU00580400;Oosternijkerk;1.0
BU00580401;Paesens;2.0
BU00580408;Verspreide huizen Oosternijkerk;
BU00580409;Verspreide huizen Paesens;
BU00580500;Ternaard;0.0
BU00580501;Wierum;2.0
BU00580502;Nes;0.0
BU00580503;Moddergat;0.0
BU00580506;Verspreide huizen Ternaard;1.0
BU00580507;Verspreide huizen Wierum;
BU00580508;Verspreide huizen Nes;
BU00580509;Verspreide huizen Moddergat;0.0
BU00580600;Holwerd;3.0
BU00580601;Waaxens;0.0
BU00580602;Brantgum;0.0
BU00580603;Foudgum;
BU00580604;Bornwird;0.0
BU00580605;Raard;3.0
BU00580608;Verspreide huizen Holwerd;2.0
BU00580609;Verspreide huizen Brantgum;
BU00580700;Hantum;2.0
BU00580701;Hantumhuizen;
BU00580702;Hantumeruitburen;0.0
BU00580703;Hiaure;
BU00580708;Verspreide huizen Hantum;1.0
BU00580709;Verspreide huizen Hantumhuizen;0.0
BU05050100;Nieuwe Haven en omgeving;5.0
BU05050101;Groenmarkt en omgeving;12.0
BU05050102;Grote Markt en omgeving;15.0
BU05050103;Wijnstraat en omgeving;1.0
BU05050104;Kalkhaven;5.0
BU05050105;Achterhakkers en omgeving;2.0
BU05050106;Boogjes en omgeving;25.0
BU05050107;Lombard en omgeving;15.0
BU05050108;Centrum;86.0
BU05050109;Augustijnenkamp en omgeving;18.0
BU05050110;Geldelozepad en omgeving;23.0
BU05050111;Rozenhof en omgeving;3.0
BU05050112;Beverwijcksplein en omgeving;19.0
BU05050113;Burgemeester de Raadtsingel en omgeving;14.0
BU05050114;Kon. Wilhelminastraat en omgeving;3.0
BU05050200;Bleijenhoek;29.0
BU05050201;Stadswerven;1.0
BU05050202;Lijnbaan;16.0
BU05050203;Matena's Pad en omgeving;7.0
BU05050204;Merwestein-Noord;6.0
BU05050205;Kasperspad en omgeving;23.0
BU05050206;Park Merwestein en omgeving;5.0
BU05050300;Zuidendijk;3.0
BU05050301;Viottakade en omgeving;8.0
BU05050302;Erasmuslaan en omgeving;5.0
BU05050303;Breitnerstraat en omgeving;13.0
BU05050304;Jacob Marisstraat en omgeving;13.0
BU05050305;Krispijnse Driehoek;13.0
BU05050306;Jacob Catsstraat en omgeving;26.0
BU05050307;Rembrandtlaan en omgeving;5.0
BU05050400;Pr. Bernhardstraat en omgeving;22.0
BU05050401;Waldeck Pyrmontweg en omgeving;6.0
BU05050402;Anna Paulownastraat en omgeving;1.0
BU05050403;Emmastraat en omgeving;9.0
BU05050404;Bloemenbuurt;5.0
BU05050405;Weizigtpark;3.0
BU05050406;Nieuweweg en omgeving;1.0
BU05050500;Wantijpark en omgeving;13.0
BU05050501;Transvaalstraat en omgeving;3.0
BU05050502;Indische Buurt-Zuid;10.0
BU05050503;Indische Buurt-Noord;4.0
BU05050504;Boeroestraat en omgeving;0.0
BU05050505;Vogelplein-Aalscholverstraat en omgeving;20.0
BU05050506;Hoekenessestraat en omgeving;0.0
BU05050507;Standhasenstraat en omgeving;3.0
BU05050508;Heysterbachstraat en omgeving;1.0
BU05050509;Maria Montessorilaan en omgeving;7.0
BU05050510;Sportterrein Krommedijk;2.0
BU05050600;Plein 1940-1945 en omgeving;0.0
BU05050601;Beekmanstraat en omgeving;3.0
BU05050602;Noorderkwartier;13.0
BU05050603;Amerstraat en omgeving;4.0
BU05050604;Merwedepolder-West;5.0
BU05050605;Merwedepolder-Oost;5.0
BU05050606;Spaarbekken;0.0
BU05050608;2e Merwedehaven en omgeving;1.0
BU05050700;Admiraalsplein;10.0
BU05050701;Van Kinsbergenstraat en omgeving;10.0
BU05050702;Cornelis Evertsenstraat en omgeving;4.0
BU05050703;Dorus Rijkersstraat en omgeving;2.0
BU05050704;Van Ewijckstraat en omgeving;7.0
BU05050705;Zeehavenlaan en omgeving;4.0
BU05050707;Dordtse Hout;1.0
BU05050800;Crabbehof-Zuid;37.0
BU05050801;Crabbehof-Noord;11.0
BU05050802;Zuidhoven;1.0
BU05050900;Sterrenburg 1-West;28.0
BU05050901;Sterrenburg 1-Oost;21.0
BU05050902;Waterman en omgeving;5.0
BU05050903;Driehoek en omgeving;1.0
BU05050904;Blaauwweg en omgeving;10.0
BU05050905;Minnaertweg en omgeving;1.0
BU05050906;Mildenburg en omgeving;5.0
BU05050907;Zuilenburg en omgeving;10.0
BU05050908;Vredenburg en omgeving;11.0
BU05050909;Wittenstein en omgeving;11.0
BU05050910;Smitsweg;1.0
BU05051001;Vissersdijk-Beneden;1.0
BU05051002;Vissersdijk-Oost;2.0
BU05051003;Egstraat en omgeving;0.0
BU05051004;Oudendijk en omgeving;1.0
BU05051005;Vissersdijk-Noord;0.0
BU05051006;Dubbeldam-Noord;11.0
BU05051007;Dubbeldam-Zuid;14.0
BU05051009;Locatie Karel Lotsyweg;1.0
BU05051010;Albert Schweitzerplaats;28.0
BU05051011;De Hoven;0.0
BU05051012;Zuidpolder;0.0
BU05051013;Belthure Park;4.0
BU05051100;Amazone en omgeving;1.0
BU05051101;Palissander en omgeving;6.0
BU05051102;Azobe en omgeving;6.0
BU05051103;Iroko en omgeving;7.0
BU05051104;Bedrijventerrein Groene Zoom;0.0
BU05051105;Van Ravesteijn-erf en omgeving;16.0
BU05051106;Van den Broek-erf en omgeving;9.0
BU05051107;Suze Groeneweg-erf en omgeving;3.0
BU05051108;Joke Smit-erf en omgeving;0.0
BU05051109;Pearl Buck-erf en omgeving;10.0
BU05051110;Aletta Jacobs-erf en omgeving;1.0
BU05051111;Johanna Naber-erf en omgeving;8.0
BU05051900;Weeskinderendijk en Dokweg;5.0
BU05051903;Louterbloemen;0.0
BU05051905;Julianahaven;1.0
BU05051909;Wieldrecht;1.0
BU05051910;Dordtse Kil I;2.0
BU05051912;Schotman terrein;0.0
BU05051914;Amstelwijck;1.0
BU05051915;Tweede Tol;3.0
BU05051916;Dordtse Kil II;1.0
BU05051917;Dordtse Kil III;0.0
BU05051919;Dordtse Kil IV;0.0
BU05059800;Merwelanden;1.0
BU05059804;Dordtse Biesbosch;1.0
BU05059805;Bovenpolder;
BU04980000;Centrum Hoogkarspel;40.0
BU04980001;Ten westen van Tolweg;0.0
BU04980009;Wijzend;0.0
BU04980100;Westwoud;4.0
BU04980101;Oudijk;0.0
BU04980109;Binnenwijzend;
BU04980200;Oosterblokker;0.0
BU04980300;Centrum Venhuizen;8.0
BU04980301;De Buurt;4.0
BU04980302;Hem;2.0
BU04980306;De Hout en Blokdijk;0.0
BU04980307;Drieban (gedeeltelijk), Hem;1.0
BU04980308;Drieban (gedeeltelijk), Venhuizen;1.0
BU04980309;Zuiderdijk;0.0
BU04980400;Wijdenes;0.0
BU04980401;Oosterleek;2.0
BU04980500;Schellinkhout;3.0
BU17190000;Made;37.0
BU17190008;Tuinbouwgebied;1.0
BU17190009;Verspreide huizen Made;0.0
BU17190100;Drimmelen;1.0
BU17190108;Verspreide huizen Biesbosch;0.0
BU17190109;Verspreide huizen Drimmelen;2.0
BU17190200;Terheijden;10.0
BU17190208;Verspreide huizen Binnenpolder;0.0
BU17190209;Verspreide huizen Zonzeelsepolder;0.0
BU17190300;Wagenberg;1.0
BU17190309;Verspreide huizen Wagenberg;3.0
BU17190400;Lage Zwaluwe inclusief Gaete;3.0
BU17190401;Blauwe Sluis;0.0
BU17190409;Verspreide huizen Lage Zwaluwe;0.0
BU17190500;Hooge Zwaluwe;0.0
BU17190501;Helkant;0.0
BU17190508;Verspr.h. Groot Zonzeelsche Polder;
BU17190509;Verspreide huizen Hooge Zwaluwe;0.0
BU03030102;Business Zone Delta;1.0
BU03030103;De Gilden;12.0
BU03030104;De Munten;7.0
BU03030105;De Drieslag;5.0
BU03030210;Pioniersweg;3.0
BU03030211;Houtwijk;1.0
BU03030212;Hanzekwartier;0.0
BU03030213;De Oeverloperwijk;3.0
BU03030320;Centrum Dronten;18.0
BU03030321;Oud-Dronten;17.0
BU03030322;De Fazant;9.0
BU03030323;Bungalowpark;0.0
BU03030324;De Boeg;3.0
BU03030430;De Landmaten;5.0
BU03030431;De Manege;3.0
BU03030432;De Lancaster;11.0
BU03030433;De Landstreken;2.0
BU03030434;De Kruidentuin;8.0
BU03030435;Golfresidentie;0.0
BU03030548;AZC;5.0
BU03030549;Ketelhaven;2.0
BU03030550;Buitengebied Dronten;6.0
BU03030601;Oud-Biddinghuizen Buiten;1.0
BU03030602;Oud-Biddinghuizen;14.0
BU03030603;De Kaai;0.0
BU03030604;Centrum Biddinghuizen;0.0
BU03030605;De Baan;3.0
BU03030606;Bremerpark;2.0
BU03030607;De Graafschap;0.0
BU03030608;Noorderbaan;2.0
BU03030609;Oldebroekerweg;0.0
BU03030620;Buitengebied Biddinghuizen;14.0
BU03030701;Kampbuurt;1.0
BU03030702;Centrum Swifterbant;0.0
BU03030703;Oud-Swifterbant;11.0
BU03030704;Spelbuurt;10.0
BU03030705;Bloemenbuurt;4.0
BU03030706;De Kolk;0.0
BU03030707;Tarpan;0.0
BU03030708;Bedrijventerrein Spelwijk;0.0
BU03030720;Buitengebied Swifterbant;0.0
BU02250001;Druten;16.0
BU02250002;Druten Zuid;14.0
BU02250003;Druten Bouwing;6.0
BU02250004;Druten Westerhout;2.0
BU02250005;Druten Buitengebied;0.0
BU02250006;Drutense Waarden;2.0
BU02250101;Puiflijk;1.0
BU02250102;Puiflijk Buitengebied;0.0
BU02250201;Afferden;3.0
BU02250202;Afferden Buitengebied;4.0
BU02250301;Deest;7.0
BU02250302;Deest Buitengebied;1.0
BU02250303;Deestse Waarden;0.0
BU02250401;Horssen;4.0
BU02250402;Horssen Molenhoek;
BU02250403;Horssen Buitengebied;2.0
BU02260101;Bedrijventerrein;11.0
BU02260201;Het Broek;2.0
BU02260301;West;9.0
BU02260302;Oud Zuid;9.0
BU02260303;Centrum;7.0
BU02260304;De Vergert;9.0
BU02260305;De Nieuweling;0.0
BU02260306;De Ploen;0.0
BU02260307;Noord;2.0
BU02260308;Lommerweide;2.0
BU02260401;Zuidwest;10.0
BU02260402;Zuidoost;12.0
BU02260501;Groessen;5.0
BU02260601;Loo Gld;2.0
BU17110101;Baakhoven;0.0
BU17110102;In de Mehre;0.0
BU17110103;Mariaveld;3.0
BU17110104;Middelveld;3.0
BU17110105;Munsterveld;4.0
BU17110106;Susteren Centrum;3.0
BU17110107;Verspreide huizen Susteren;2.0
BU17110108;Wolfskoul;0.0
BU17110153;Handelsterrein;2.0
BU17110209;Dieteren;3.0
BU17110210;Verspreide huizen Dieteren;0.0
BU17110311;Heide;3.0
BU17110312;Recreatiepark Hommelheide;1.0
BU17110313;Verspreide huizen Heide;
BU17110414;Illikhoven en Visserweert;0.0
BU17110415;Kokkelert;1.0
BU17110416;Oud-Roosteren;
BU17110417;Roosteren;3.0
BU17110418;Verspr.h. Illikhoven en Visserweert;0.0
BU17110419;Verspreide huizen Roosteren;0.0
BU17110520;Aasterberg;
BU17110521;Berkelaar;0.0
BU17110522;De Berk;0.0
BU17110523;De Loop;2.0
BU17110524;Echt Centrum;32.0
BU17110525;Echt Noord;10.0
BU17110526;Gebroek;0.0
BU17110527;Ophoven;0.0
BU17110547;Buitengebied de Berk;
BU17110548;Buitengebied de Loop;0.0
BU17110549;Buitengebied Gebroek;0.0
BU17110551;Buitengebied Ophoven;
BU17110554;Buitengebied Berkelaar;1.0
BU17110628;Diergaarde;0.0
BU17110629;Echterbosch;0.0
BU17110630;Maria Hoop;1.0
BU17110731;Hingen;2.0
BU17110732;Peij;11.0
BU17110733;Peijerveld;5.0
BU17110734;Recreatiepark Marisheem;
BU17110735;Schilberg;6.0
BU17110836;Liboscherveld;0.0
BU17110837;Slek;1.0
BU17110938;Verspreide huizen Nieuwstadt;1.0
BU17110939;Nieuwstadt Centrum;9.0
BU17110940;Cristina;5.0
BU17111041;Sint Joost;2.0
BU17111042;Verspreide Huizen Sint Joost;1.0
BU17111143;Koningsbosch;10.0
BU17111144;Lackerbosch;0.0
BU17111145;Spaanshuisken;0.0
BU17111146;Aan het Echterbos;0.0
BU17111152;Buitengebied Spaanshuisken;
BU03850001;Edam-Oude kom;6.0
