neighborhood_code;neighborhood_names;total_destruction
BU06130101;Valckesteyn;6.0
BU06130102;Zwaardijk-Kruisdijk;7.0
BU06130103;Poortugaal;
BU06130104;Buitengebied Poortugaal;1.0
BU06130205;Rhoon Noord;8.0
BU06130207;Buitengebied Rhoon-Noord;0.0
BU06130308;Beatrixstraat;2.0
BU06130309;Landweg;3.0
BU06130310;Poortugaal-Centrum;5.0
BU06130311;Poortugaal Zuid;12.0
BU06130312;Polder Albrandswaard;29.0
BU06130313;Kijvelanden;2.0
BU06130414;Rhoon-Centrum;10.0
BU06130415;Ghijseland;2.0
BU06130416;Overhoeken;1.0
BU06130417;Park Rhoon;2.0
BU06130418;Rhoon-Zuidoost;0.0
BU06130419;Tijsjesdijk;3.0
BU06130420;Buitengebied Rhoon-Zuid;0.0
BU06130521;Portland-Koedoodzone;0.0
BU06130522;Buitengebied;3.0
BU06130623;Driehoek;6.0
BU06130624;Portland-Centrum;8.0
BU06130625;Wijkpark Portland;
BU06130626;De Eilanden;6.0
BU03610100;Kooimeer;19.0
BU03610101;Dillenburg en Stadhouderskwartier;2.0
BU03610102;Staatsliedenkwartier en Landstraten;21.0
BU03610103;Oud-Rochdale;5.0
BU03610104;Emmakwartier;9.0
BU03610105;Nassaukwartier en Hout;19.0
BU03610106;Oranjepark;5.0
BU03610107;Cranenbroek;0.0
BU03610108;Bloemwijk en Zocherkwartier;9.0
BU03610109;Burgemeesterskwartier;8.0
BU03610200;Rekerbuurt en Ooievaarsnest;13.0
BU03610201;Oudorp-Noord en Oudorp-Oost;18.0
BU03610202;Oudorp-Centrum;11.0
BU03610203;Schermereiland en Omval;13.0
BU03610204;Oudorperpolder-Zuid;15.0
BU03610205;Oudorperpolder-Midden;3.0
BU03610206;Oudorperpolder-Noord;4.0
BU03610208;De Nollen;5.0
BU03610209;Beverkoog;2.0
BU03610300;Oud-Overdie;25.0
BU03610301;Oosterhout;14.0
BU03610302;Overdie-Oost;15.0
BU03610303;Overdie-West;18.0
BU03610308;Boekelermeer-Zuid;0.0
BU03610309;Boekelermeer-Noord;3.0
BU03610400;De Hoef III en IV;16.0
BU03610401;De Hoef I en II;21.0
BU03610402;Bergerwegkwartier;7.0
BU03610403;Bergerhof en Blaeustraatkwartier;4.0
BU03610404;Bergermeer;9.0
BU03610409;Landelijk gebied-West;21.0
BU03610500;Huiswaard-1-Zuid;26.0
BU03610501;Muiderwaard;0.0
BU03610502;Huiswaard-2-West;8.0
BU03610503;Huiswaard-2-Oost;4.0
BU03610600;'t Rak-Zuid;17.0
BU03610601;'t Rak-Noord;9.0
BU03610602;De Horn-Noord;11.0
BU03610603;De Horn-Zuid;11.0
BU03610604;De Mare;24.0
BU03610700;Daalmeer-Zuidoost;11.0
BU03610701;Daalmeer-Zuidwest;14.0
BU03610702;Koedijk en De Weijdt;12.0
BU03610703;Daalmeer-Noordwest;11.0
BU03610704;Daalmeer-Noordoost;13.0
BU03610709;Landelijk gebied Noord;0.0
BU03610800;Binnenstad-West;74.0
BU03610801;Binnenstad-Oost;45.0
BU03610802;Spoorbuurt;26.0
BU03610803;Overstad;10.0
BU03610900;Oterleek;1.0
BU03610901;Ursem gem. S;0.0
BU03610902;Stompetoren;3.0
BU03610903;Schermerhorn;1.0
BU03610904;Zuidschermer;1.0
BU03610905;Driehuizen;1.0
BU03610906;Grootschermer;0.0
BU03611000;Noordeinde;
BU03611001;West-Graftdijk;5.0
BU03611002;Graft;2.0
BU03611003;De Rijp;9.0
BU03611004;Oost-Graftdijk;1.0
BU03611005;Starnmeer;0.0
BU03611006;Markenbinnen;1.0
BU03611100;Vroonermeer-Zuid;13.0
BU03611101;Vroonermeer-Noord;2.0
BU01411000;Binnenstad-Noord;46.0
BU01411001;Binnenstad-Zuid;26.0
BU01411002;Ulk en omgeving;1.0
BU01411003;Java en omgeving;5.0
BU01411100;Bornsestraat en omgeving Midden;3.0
BU01411101;Riet Noord;8.0
BU01411102;Arendsboer en omgeving Noord;14.0
BU01411103;Nieuwland;11.0
BU01411104;Arendsboer en omgeving Zuid;1.0
BU01411105;Riet Zuid;9.0
BU01411106;Bornsestraat en omgeving Zuid;5.0
BU01411109;Verspreide huizen wijk 11;1.0
BU01411200;Vriezenveenseweg e.o. Haghoek Oost;11.0
BU01411201;Parkweg en omgeving;4.0
BU01411202;Vriezenveenseweg e.o. Haghoek West;5.0
BU01411209;Verspreide huizen wijk 12;19.0
BU01411300;Ootmarsumsestraat en omgeving;18.0
BU01411301;Markgraven;2.0
BU01411302;Rumerslanden;3.0
BU01411303;Wester-Sluitersveldlanden;9.0
BU01411309;Verspreide huizen wijk 13;2.0
BU01411400;Dijkstraat en omgeving;3.0
BU01411401;Rohof en omgeving;1.0
BU01411402;Kerkelanden;12.0
BU01411403;Aalderinkshoek Noordoost;8.0
BU01411404;Aalderinkshoek Zuidoost;2.0
BU01411405;Aalderinkshoek Noordwest;12.0
BU01411406;Aalderinkshoek Zuidwest;2.0
BU01411409;Verspreide huizen wijk 14;3.0
BU01411500;Nieuwstraat en omgeving;14.0
BU01411501;Wonde en omgeving;4.0
BU01411502;Witvoet en omgeving;4.0
BU01411503;Achterlanden en omgeving;4.0
BU01411600;Boomplaats;4.0
BU01411601;Ossenkoppelerhoek-Oost;12.0
BU01411602;Beeklust;2.0
BU01411603;Ossenkoppelerhoek-Midden-Noord;6.0
BU01411604;Ossenkoppelerhoek-West;8.0
BU01411605;Ossenkoppelerhoek-Midden-Zuid;6.0
BU01411700;Hofkamp-West;4.0
BU01411701;Hofkamp-Oost;7.0
BU01411702;Paradijs;7.0
BU01411703;Kollenveld-Bolkshoek;4.0
BU01411709;Verspreide huizen Hofkamp;2.0
BU01411800;Schelfhorst-Zuidwest;2.0
BU01411801;Drakensteyn en omgeving;1.0
BU01411802;Schelfhorst-Noordwest;12.0
BU01411803;Havezathe;6.0
BU01411804;Schelfhorst-Noordoost;2.0
BU01411805;Schelfhorst-Zuidoost;3.0
BU01411806;Veenelanden;0.0
BU01411900;Groeneveld;10.0
BU01411901;Kanaalzijde;6.0
BU01411902;Leemslagen-Noord;5.0
BU01411903;Leemslagen-Zuid;10.0
BU01411904;Zeven Bosjes;2.0
BU01411905;Leemslagen-Oost;4.0
BU01411906;Huttenveld;6.0
BU01411907;Maardijk;1.0
BU01411908;De Grens;1.0
BU01411909;Nijrees;1.0
BU01411910;Verspreide huizen wijk 19;6.0
BU01412000;Aadorp-West;4.0
BU01412001;Aadorp-Oost;3.0
BU01412009;Verspreide huizen wijk 20;0.0
BU01412100;Bornerbroek;0.0
BU01412109;Verspreide huizen wijk 21;0.0
BU00340101;Centrum Almere Haven;10.0
BU00340102;De Werven;11.0
BU00340103;De Hoven;14.0
BU00340104;De Meenten;13.0
BU00340105;De Grienden;14.0
BU00340106;De Marken;9.0
BU00340107;De Gouwen;11.0
BU00340108;De Wierden;18.0
BU00340109;De Velden;2.0
BU00340110;Overgooi;1.0
BU00340171;De Steiger;4.0
BU00340199;Overig Almere Haven;1.0
